Point 113 --> || t = 505.5000000000 || max_dvdt = 15.5292547941 ||
Point 114 --> || t = 505.6000000000 || max_dvdt = 15.2912258683 ||
Point 115 --> || t = 505.6000000000 || max_dvdt = 15.7110791071 ||
Point 116 --> || t = 505.6000000000 || max_dvdt = 15.6229253434 ||
Point 117 --> || t = 505.6000000000 || max_dvdt = 15.1715003140 ||
Point 118 --> || t = 505.7000000000 || max_dvdt = 15.5894241497 ||
Point 119 --> || t = 505.7000000000 || max_dvdt = 15.6469761126 ||
Point 120 --> || t = 505.7000000000 || max_dvdt = 15.2787786373 ||
Point 121 --> || t = 505.8000000000 || max_dvdt = 15.4242310645 ||
Point 122 --> || t = 505.8000000000 || max_dvdt = 15.6102238454 ||
Point 123 --> || t = 505.8000000000 || max_dvdt = 15.3111601040 ||
Point 124 --> || t = 505.9000000000 || max_dvdt = 15.2520920190 ||
Point 125 --> || t = 505.9000000000 || max_dvdt = 15.5272400507 ||
Point 126 --> || t = 505.9000000000 || max_dvdt = 15.2630684264 ||
Point 127 --> || t = 506.0000000000 || max_dvdt = 15.1140702457 ||
Point 128 --> || t = 506.0000000000 || max_dvdt = 15.4101032984 ||
Point 129 --> || t = 506.0000000000 || max_dvdt = 15.1202502569 ||
Point 130 --> || t = 506.1000000000 || max_dvdt = 15.0383479556 ||
Point 131 --> || t = 506.1000000000 || max_dvdt = 15.2485727891 ||
Point 132 --> || t = 506.1000000000 || max_dvdt = 14.8417984670 ||
Point 133 --> || t = 506.2000000000 || max_dvdt = 15.0025678380 ||
Point 134 --> || t = 506.2000000000 || max_dvdt = 14.9730174740 ||
Point 135 --> || t = 506.3000000000 || max_dvdt = 14.4793472387 ||
Point 136 --> || t = 506.3000000000 || max_dvdt = 14.8643498928 ||
Point 137 --> || t = 506.3000000000 || max_dvdt = 14.4055359603 ||
Point 138 --> || t = 506.4000000000 || max_dvdt = 14.6142010629 ||
Point 139 --> || t = 506.4000000000 || max_dvdt = 14.2813827131 ||
Point 140 --> || t = 506.5000000000 || max_dvdt = 14.3379047020 ||
Point 141 --> || t = 506.5000000000 || max_dvdt = 13.9701068642 ||
Point 142 --> || t = 506.6000000000 || max_dvdt = 14.0704918987 ||
Point 143 --> || t = 506.6000000000 || max_dvdt = 13.4036273930 ||
Point 144 --> || t = 506.7000000000 || max_dvdt = 13.6482302587 ||
Point 145 --> || t = 506.8000000000 || max_dvdt = 13.4758222972 ||
Point 146 --> || t = 506.9000000000 || max_dvdt = 12.9903548023 ||
Point 147 --> || t = 506.9000000000 || max_dvdt = 12.7991295761 ||
Point 148 --> || t = 507.0000000000 || max_dvdt = 12.8221334488 ||
Point 149 --> || t = 507.1000000000 || max_dvdt = 12.8937341590 ||
Point 150 --> || t = 507.2000000000 || max_dvdt = 13.1713144604 ||
Point 151 --> || t = 507.3000000000 || max_dvdt = 13.3659802380 ||
Point 152 --> || t = 507.3000000000 || max_dvdt = 13.7596785693 ||
Point 153 --> || t = 507.3000000000 || max_dvdt = 13.7188208437 ||
Point 154 --> || t = 507.4000000000 || max_dvdt = 13.7400856004 ||
Point 155 --> || t = 507.4000000000 || max_dvdt = 14.2773464297 ||
Point 156 --> || t = 507.4000000000 || max_dvdt = 14.3926468779 ||
Point 157 --> || t = 507.4000000000 || max_dvdt = 14.1805000586 ||
Point 158 --> || t = 507.5000000000 || max_dvdt = 14.4452718643 ||
Point 159 --> || t = 507.5000000000 || max_dvdt = 14.7866684482 ||
Point 160 --> || t = 507.5000000000 || max_dvdt = 14.7487789200 ||
Point 161 --> || t = 507.5000000000 || max_dvdt = 14.4290304967 ||
Point 162 --> || t = 507.6000000000 || max_dvdt = 14.8143423254 ||
Point 163 --> || t = 507.6000000000 || max_dvdt = 15.0075470481 ||
Point 164 --> || t = 507.6000000000 || max_dvdt = 14.8550759110 ||
Point 165 --> || t = 507.7000000000 || max_dvdt = 14.5739326645 ||
Point 166 --> || t = 507.7000000000 || max_dvdt = 15.0445119859 ||
Point 167 --> || t = 507.7000000000 || max_dvdt = 15.1058427710 ||
Point 168 --> || t = 507.7000000000 || max_dvdt = 14.8511352535 ||
Point 169 --> || t = 507.8000000000 || max_dvdt = 14.8928046310 ||
Point 170 --> || t = 507.8000000000 || max_dvdt = 15.2147007182 ||
Point 171 --> || t = 507.8000000000 || max_dvdt = 15.1495445128 ||
Point 172 --> || t = 507.8000000000 || max_dvdt = 14.7987489938 ||
Point 173 --> || t = 507.9000000000 || max_dvdt = 15.1504359079 ||
Point 174 --> || t = 507.9000000000 || max_dvdt = 15.3229429941 ||
Point 175 --> || t = 507.9000000000 || max_dvdt = 15.1363384465 ||
Point 176 --> || t = 508.0000000000 || max_dvdt = 14.8854684142 ||
Point 177 --> || t = 508.0000000000 || max_dvdt = 15.3387851749 ||
Point 178 --> || t = 508.0000000000 || max_dvdt = 15.3633507974 ||
Point 179 --> || t = 508.0000000000 || max_dvdt = 15.0630986928 ||
Point 180 --> || t = 508.1000000000 || max_dvdt = 15.1735862535 ||
Point 181 --> || t = 508.1000000000 || max_dvdt = 15.4541622463 ||
Point 182 --> || t = 508.1000000000 || max_dvdt = 15.3369742834 ||
Point 183 --> || t = 508.1000000000 || max_dvdt = 14.9342138538 ||
Point 184 --> || t = 508.2000000000 || max_dvdt = 15.3860443711 ||
Point 185 --> || t = 508.2000000000 || max_dvdt = 15.4968276963 ||
Point 186 --> || t = 508.2000000000 || max_dvdt = 15.2487903259 ||
Point 187 --> || t = 508.3000000000 || max_dvdt = 15.1406292019 ||
Point 188 --> || t = 508.3000000000 || max_dvdt = 15.5201763194 ||
Point 189 --> || t = 508.3000000000 || max_dvdt = 15.4702972032 ||
Point 190 --> || t = 508.3000000000 || max_dvdt = 15.1058323374 ||
Point 191 --> || t = 508.4000000000 || max_dvdt = 15.3861134010 ||
Point 192 --> || t = 508.4000000000 || max_dvdt = 15.5769039029 ||
Point 193 --> || t = 508.4000000000 || max_dvdt = 15.3803968934 ||
Point 194 --> || t = 508.5000000000 || max_dvdt = 15.0778031749 ||
Point 195 --> || t = 508.5000000000 || max_dvdt = 15.5464680501 ||
Point 196 --> || t = 508.5000000000 || max_dvdt = 15.5602568796 ||
Point 197 --> || t = 508.5000000000 || max_dvdt = 15.2344549520 ||
Point 198 --> || t = 508.6000000000 || max_dvdt = 15.3588155431 ||
Point 199 --> || t = 508.6000000000 || max_dvdt = 15.6233289090 ||
Point 200 --> || t = 508.6000000000 || max_dvdt = 15.4766780867 ||
Point 201 --> || t = 508.6000000000 || max_dvdt = 15.0406334728 ||
Point 202 --> || t = 508.7000000000 || max_dvdt = 15.5477619166 ||
Point 203 --> || t = 508.7000000000 || max_dvdt = 15.6216551757 ||
Point 204 --> || t = 508.7000000000 || max_dvdt = 15.3342322166 ||
Point 205 --> || t = 508.8000000000 || max_dvdt = 15.3142278929 ||
Point 206 --> || t = 508.8000000000 || max_dvdt = 15.6472556899 ||
Point 207 --> || t = 508.8000000000 || max_dvdt = 15.5488802435 ||
Point 208 --> || t = 508.8000000000 || max_dvdt = 15.1418405608 ||
Point 209 --> || t = 508.9000000000 || max_dvdt = 15.5320164737 ||
Point 210 --> || t = 508.9000000000 || max_dvdt = 15.6632562788 ||
Point 211 --> || t = 508.9000000000 || max_dvdt = 15.4140339306 ||
Point 212 --> || t = 509.0000000000 || max_dvdt = 15.2574056334 ||
Point 213 --> || t = 509.0000000000 || max_dvdt = 15.6552063477 ||
Point 214 --> || t = 509.0000000000 || max_dvdt = 15.6041887338 ||
Point 215 --> || t = 509.0000000000 || max_dvdt = 15.2269449147 ||
Point 216 --> || t = 509.1000000000 || max_dvdt = 15.5035609303 ||
Point 217 --> || t = 509.1000000000 || max_dvdt = 15.6906290283 ||
Point 218 --> || t = 509.1000000000 || max_dvdt = 15.4800608720 ||
Point 219 --> || t = 509.2000000000 || max_dvdt = 15.1903837672 ||
Point 220 --> || t = 509.2000000000 || max_dvdt = 15.6510345287 ||
Point 221 --> || t = 509.2000000000 || max_dvdt = 15.6476449387 ||
Point 222 --> || t = 509.2000000000 || max_dvdt = 15.3016770278 ||
Point 223 --> || t = 509.3000000000 || max_dvdt = 15.4642697775 ||
Point 224 --> || t = 509.3000000000 || max_dvdt = 15.7074641219 ||
Point 225 --> || t = 509.3000000000 || max_dvdt = 15.5372816286 ||
Point 226 --> || t = 509.4000000000 || max_dvdt = 15.1126022011 ||
Point 227 --> || t = 509.4000000000 || max_dvdt = 15.6366810655 ||
Point 228 --> || t = 509.4000000000 || max_dvdt = 15.6832050224 ||
Point 229 --> || t = 509.4000000000 || max_dvdt = 15.3714804840 ||
Point 230 --> || t = 509.5000000000 || max_dvdt = 15.4136536286 ||
Point 231 --> || t = 509.5000000000 || max_dvdt = 15.7161841719 ||
Point 232 --> || t = 509.5000000000 || max_dvdt = 15.5905189385 ||
Point 233 --> || t = 509.5000000000 || max_dvdt = 15.1625321377 ||
Point 234 --> || t = 509.6000000000 || max_dvdt = 15.6121112183 ||
Point 235 --> || t = 509.6000000000 || max_dvdt = 15.7144419289 ||
Point 236 --> || t = 509.6000000000 || max_dvdt = 15.4428963037 ||
Point 237 --> || t = 509.7000000000 || max_dvdt = 15.3477147775 ||
Point 238 --> || t = 509.7000000000 || max_dvdt = 15.7179195061 ||
